style,medal,beer,brewery,state
Contemporary-Style Gose,Prata,(048) Gose Caju e semente de Coentro,Cervejaria 048,SC
Contemporary-Style Gose,Bronze,Tropical Gose,Hank Bier,PR
Dessert Stout or Pastry Stout,Ouro,"(048) Imperial Stout Banana passa, canela e baunilha",Cervejaria 048,SC
Dessert Stout or Pastry Stout,Prata,Magia Negra - RIS,Dakza Brewing,MG
Dessert Stout or Pastry Stout,Bronze,Dark Desire,Beta Hops Brewing,SP
Dortmunder/European-Style Export,Ouro,1824 Imigração Export,Cervejaria Imigração 1824,RS
Dortmunder/European-Style Export,Prata,Export Lager,OPA Bier,SC
Dortmunder/European-Style Export,Bronze,Curicaca Gold,Cervejaria Flagra,PR
Double Hoppy Red Ale,Ouro,Golden Mist - RED IPA,Golden Mist,PR
Double Hoppy Red Ale,Prata,Saci,Mythic Beer,MG
Double Hoppy Red Ale,Bronze,Caranha,Cervejaria Marlin Azul,ES
"Dutch-Style Kuit, Kuyt or Koyt",Ouro,KAASKOP,Cervejaria Seo Carneiro,SP
"Dutch-Style Kuit, Kuyt or Koyt",Prata,Cutie-Kuyt,Stannis Cervejaria,SC
English-Style Brown Ale,Ouro,Seu Fausto,Cervejaria Divino Malte,PR
English-Style Brown Ale,Prata,BrownSon,Cervejaria Colt Brew,MG
English-Style Brown Ale,Bronze,Red Ale Código de Bar EBA,Cervejaria Karsten,SC
English-Style Dark Mild Ale,Ouro,Delicatessen Avelã Stout,Irmandade Cervejaria Artesanal,PR
English-Style Dark Mild Ale,Prata,Little Porter,Landel,SP
English-Style Dark Mild Ale,Bronze,Dom Rodrigo,Cervejaria Divino Malte,PR
English-Style Summer Ale,Ouro,Roleta Russa Easy IPA,Cervejaria Imigração 1824,RS
English-Style Summer Ale,Prata,Rabugentos Summer Ale,Rabugentos Brewing co.,RJ
English-Style Summer Ale,Bronze,Tio Sun - Summer ale,Cervejaria Colt Brew,MG
European-Style Dark Lager,Ouro,Caraça Dark Lager,Cervejaria Caraça,MG
European-Style Dark Lager,Prata,Musaranho Czech Dark Lager,Cervejaria Musaranho,SC
European-Style Dark Lager,Bronze,Dark Lager,Naipe Brew,MG
Experimental Beer,Ouro,Cappuccino Gelado,Salva Craft Beer,RS
Experimental Beer,Prata,5 Elementos Guava Cheesecake,Cervejaria Turatti,CE
Experimental Beer,Bronze,Compilação Líquida da Experiência Matinal Estadunidense,Captain Brew,MG
Experimental India Pale Ale,Ouro,Bandit,Old Car Brewpub,PR
Experimental India Pale Ale,Prata,Rye Red IPA,Cervejaria Karsten,SC
Experimental India Pale Ale,Bronze,Cabra da Peste,Cervejaria Demonho,SP
Export-Style Stout,Ouro,Monka Kong,Monka Cervejaria,MG
Export-Style Stout,Prata,Mr. Brew - Stout,Mr. Brew Cervejaria,SC
Export-Style Stout,Bronze,La Birra Export Stout,Cervejaria La Birra,SC
Extra Special Bitter,Ouro,Cascahell ESB,Cervejaria Providência,PR
Extra Special Bitter,Prata,Three Monkeys - Peter the Bitter,Three Monkeys Beer,RJ
Extra Special Bitter,Bronze,Arrogante ESB,Tropel,
Field Beer,Ouro,Barbia Cyber - Fruit Kvass,Barnia Cervejaria,SP
Field Beer,Prata,Coconut Porter,Cervejaria Almirante,SC
Field Beer,Bronze,Vai Catar Coquinho,Salva Craft Beer,RS
Finnish-Style Sahti,Ouro,Singing Vikman,Stannis Cervejaria,SC
Franconian-Style Rotbier,Ouro,Jordana Bier Burning Heart Red Lager,Jordana Bier,PR
Franconian-Style Rotbier,Prata,FrankStein,Salva Craft Beer,RS
Franconian-Style Rotbier,Bronze,Ruiva Brew Up,Brew Up Cervejaria,RS
Fresh Hop Beer,Ouro,Fresh Hop - 100% lúpulo nacional,Cervejaria dos Anjos,PR
Fresh Hop Beer,Prata,Citra Dimension,Paloma Craft Beer,RS
Fresh Hop Beer,Bronze,PAÚRA,Cervejaria Demonho,SP
Fruit Wheat Beer,Ouro,Weiss de Goiaba,Cervejaria Hop Bros,AL
Fruit Wheat Beer,Prata,Ava Guava,Stannis Cervejaria,SC
Fruit Wheat Beer,Bronze,Cream Fruit Beer,Cervejaria Karsten,SC
German-Style Altbier,Ouro,Altbier,Naipe Brew,MG
German-Style Altbier,Prata,Psicopata,Cervejaria Flagra,PR
German-Style Altbier,Bronze,Sebastian,Walfänger,SP
German-Style Doppelbock,Ouro,Andaluzita,Pedrosa Craft,MG
German-Style Doppelbock,Prata,Doppelbock Sarau,Cervejaria Sarau,SC
German-Style Doppelbock,Bronze,Doppelbock,Cervejaria Brusque,SC
German-Style Eisbock,Ouro,Karsten Eisbock,Cervejaria Karsten,SC
German-Style Eisbock,Prata,Eisbock,Salva Craft Beer,RS
German-Style Eisbock,Bronze,Bierbaum Eisbock,Bierbaum,SC
German-Style Heller Bock/Maibock,Ouro,FRIDA - Walfänger & Dama Bier,Walfänger,SP
German-Style Koelsch,Ouro,Desierto Summer Kölsch,Cervecería Luthier,
German-Style Koelsch,Prata,Bierbaum Kölsch 18,Bierbaum,SC
German-Style Koelsch,Bronze,Hopefull Anne,Stannis Cervejaria,SC
German-Style Leichtbier,Ouro,Lassberg Leichtbier,Lassberg,SC
German-Style Leichtbier,Prata,Lager,Walfänger,SP
German-Style Leichtbier,Bronze,Leichtbier,Salva Craft Beer,RS
German-Style Leichtes Weizen,Ouro,Therezópolis ELFENBEIN,Cervejaria Therezópolis,SP
German-Style Leichtes Weizen,Prata,14 Weiss,Cervejaria Bohemia,RJ
German-Style Leichtes Weizen,Bronze,Furst Catalina Weiss,Cervejaria Fürst,MG
German-Style Maerzen,Ouro,Walfänger Märzen,Walfänger,SP
German-Style Maerzen,Prata,1906 Milnueve Märzen,Estrella Galicia,
German-Style Maerzen,Bronze,Capital da Amizade,Cervejaria Divino Malte,PR
German-Style Oktoberfest/Festbier,Ouro,Munich Helles,Cervejaria Karsten,SC
German-Style Oktoberfest/Festbier,Prata,Ein Schonner Therese,Stannis Cervejaria,SC
German-Style Oktoberfest/Festbier,Bronze,Walfänger Oktoberfest,Walfänger,SP
German-Style Pilsener,Ouro,FrohenFeld Pils,FrohenFeld Craft Brewery,PR
German-Style Pilsener,Prata,German Lager,OPA Bier,SC
German-Style Pilsener,Bronze,W-Pilsner,Walfänger,SP
German-Style Rye Ale,Ouro,Kreativ Hanna,Stannis Cervejaria,SC
German-Style Schwarzbier,Ouro,Dunkel Premium,Cervejaria Providência,PR
German-Style Schwarzbier,Prata,1824 Imigração Black,Cervejaria Imigração 1824,RS
German-Style Schwarzbier,Bronze,Schwarzbier - Wolfes Bier,Cervejaria Wolfes Bier,SP
Gluten-Free Beer,Ouro,Tá Fit,Naipe Brew,MG
Gluten-Free Beer,Prata,American Lager,Naipe Brew,MG
Gluten-Free Beer,Bronze,Catharina Sour sem glúten,OPA Bier,SC
Golden or Blonde Ale,Ouro,Blond,Cervejaria Sarau,SC
Golden or Blonde Ale,Prata,Chopp Hauk,Cervejaria Hauk,MG
Golden or Blonde Ale,Bronze,Apollo Blonde Ale,Cervejaria Kavalla,PR
Grape Ale,Ouro,Bordô Spritz,Mascaron,RS
Grodziskie,Ouro,Águia Branca,Piwo Cervejaria,ES
Grodziskie,Prata,Corredor Polonês,Cervejaria Karsten,SC
Herb and Spice Beer,Ouro,Helena's Dream,Stannis Cervejaria,SC
Herb and Spice Beer,Prata,Witbier com Maracujá e Manjericão,Cervejaria Green Coast,SC
Herb and Spice Beer,Bronze,Un Bolero de Soledad,Captain Brew,MG
Historical Beer,Ouro,Tendel Stout,Cervejaria Tendel,SC
Imperial Red Ale,Ouro,Lead Kathy,Stannis Cervejaria,SC
International-Style Pale Ale,Ouro,Armarillo,Hank Bier,PR
International-Style Pale Ale,Prata,Nona Iolanda,Cervejaria Divino Malte,PR
International-Style Pale Ale,Bronze,Marchand IPA,Marchand Beer Company,SC
International-Style Pilsener,Ouro,Puma German Lager,Cervejaria Unika,SC
International-Style Pilsener,Prata,Estrella Galicia Lager,Estrella Galicia,
International-Style Pilsener,Bronze,Alfero Pilsen,Cervejaria Alfero,SC
Irish-Style Red Ale,Ouro,Refugiada Irish Red Ale,Nefasta Cervejaria Artesanal,SC
Irish-Style Red Ale,Prata,Donzela Fugitiva,Cervejaria Divino Malte,PR
Irish-Style Red Ale,Bronze,Lassberg Irish Red Ale,Lassberg,SC
Italian Grape Ale,Ouro,Remolino Grape Ale,Cervecería Luthier,
Italian Grape Ale,Prata,Porto Rubi,Cervejaria Almirante,SC
Italian Grape Ale,Bronze,Winebeer,Cervejaria Campos do Jordão,SP
Italian-Style Pilsener,Ouro,Dom Cervejeiro Pils,Casa do Malte,SC
Juicy or Hazy Imperial or Double India Pale Ale,Ouro,Yakima Rising,Marchand Beer Company,SC
Juicy or Hazy Imperial or Double India Pale Ale,Prata,BROWe! Double Hazy IPA,Cervejaria BROWe!,SP
Juicy or Hazy Imperial or Double India Pale Ale,Bronze,Magia Oculta,Cervejaria Demonho,SP
Juicy or Hazy India Pale Ale,Ouro,Yellowstone,Mills Brewery,MG
Juicy or Hazy India Pale Ale,Prata,Sapo de otro pozo,12Brujas,
Juicy or Hazy India Pale Ale,Bronze,Foam and Fade,Hasta Pronto Brewing Co,
Juicy or Hazy Pale Ale,Ouro,Viaje de Ida Session NEIPA,Tropel,
Juicy or Hazy Pale Ale,Prata,Juiced,Cervejaria Moondri,PR
Juicy or Hazy Pale Ale,Bronze,Karina,Cervejaria Aurora,ES
Juicy or Hazy Strong Pale Ale,Ouro,Cuide do seu Bigode,Landel,SP
Juicy or Hazy Strong Pale Ale,Prata,Atrás do Bloco,Landel,SP
Juicy or Hazy Strong Pale Ale,Bronze,Skunk Juicy IPA,Cervejaria Unika,SC
Kellerbier or Zwickelbier,Ouro,Kiss my Tank-Pilsen,Stannis Cervejaria,SC
Kellerbier or Zwickelbier,Prata,Keller Bier,OPA Bier,SC
Kellerbier or Zwickelbier,Bronze,Keller Pilsener,OPA Bier,SC
Kentucky Common Beer,Ouro,Kentucky Common,Salva Craft Beer,RS
Kentucky Common Beer,Prata,Dancing Carmen,Stannis Cervejaria,SC
Kentucky Common Beer,Bronze,(048) Hop Lager,Cervejaria 048,SC
Leipzig-Style Gose,Ouro,Salgadinha da Hank,Hank Bier,PR
Leipzig-Style Gose,Prata,Saline Bertha,Stannis Cervejaria,SC
Leipzig-Style Gose,Bronze,Lagoa Gose,Cervejaria Turatti,CE
Mixed-Culture Brett Beer,Ouro,Brett Beer,Naipe Brew,MG
Mixed-Culture Brett Beer,Prata,Brut Chardonnay,Três Torres Cervejaria,ES
Mixed-Culture Brett Beer,Bronze,Mousse de Caju,Cervejaria Turatti,CE
Munich-Style Dunkel,Ouro,Walfänger Dunkel,Walfänger,SP
Munich-Style Dunkel,Prata,Bierbaum Dunkel,Bierbaum,SC
Munich-Style Dunkel,Bronze,Therezópolis EBENHOLZ,Cervejaria Therezópolis,SP
Munich-Style Helles,Ouro,Munich Helles,Parrilla Bier Indaial,SC
Munich-Style Helles,Prata,Lager,Mills Brewery,MG
Munich-Style Helles,Bronze,Premium Lager,Campina da Cascavel,SC
New Zealand-Style India Pale Ale,Ouro,Treze Andares,Cervejaria Marlin Azul,ES
New Zealand-Style India Pale Ale,Prata,Cachorro Ovelheiro New Zealand IPA,Cervejaria Guarnieri,RS
New Zealand-Style India Pale Ale,Bronze,Neblina Flutuante,Ruradélica Ales,RS
New Zealand-Style Pale Ale,Ouro,Jordana Bier Metal Gods Brut,Jordana Bier,PR
New Zealand-Style Pale Ale,Prata,Kaingang New Zealand,Kaingang Cervejaria,SC
New Zealand-Style Pale Ale,Bronze,Cherokee - IPA,Cervejaria cherokee,SC
Non-Alcohol Malt Beverage,Ouro,Ale sin Alcohol,Cervecería Kunstmann,
Non-Alcohol Malt Beverage,Prata,"Stannis 0,0",Stannis Cervejaria,SC
Non-Alcohol Malt Beverage,Bronze,American Stout sem Alcool com adição de café,Buckel Cervejaria,RS
Oatmeal Stout,Ouro,Obscura,Cervejaria Flagra,PR
Oatmeal Stout,Prata,Imigração Oatmeal Stout,Cervejaria Imigração 1824,RS
Oatmeal Stout,Bronze,Alfero Oatmeal Stout,Cervejaria Alfero,SC
Old Ale,Ouro,Dominic,Cervejaria Marlin Azul,ES
Old Ale,Prata,Vennbahn Doppelsticke 2019,Walfänger,SP
Old Ale,Bronze,Rendez-Vous La Belle Vieille,La Belle Bière,RS
Other Belgian-Style Ale,Ouro,O Julgamento Selvagem,Cervejaria Três Santas,ES
Other Belgian-Style Ale,Prata,Tripel Chardonnay,Água do Monge,PR
Other Belgian-Style Ale,Bronze,Tripel do Carvalho,Hank Bier,PR
Other Strong Ale or Lager,Ouro,1906 Black Coupage,Estrella Galicia,
Other Strong Ale or Lager,Prata,Haenschbier Triple Ipa,Haenschbier,SC
Other Strong Ale or Lager,Bronze,Reserva do Mestre,Cervejaria Blumenau,SC
Pumpkin Spice Beer,Ouro,Amadeus Pumpkin Ale,Cervejaria Amadeus,PR
Robust Porter,Ouro,Emma Blackberry,Cervejaria Faroeste Beer,SC
Robust Porter,Prata,Cacau Porter,Mills Brewery,MG
Robust Porter,Bronze,Tendel Porter,Cervejaria Tendel,SC
Rye Beer,Ouro,Patanegra Rye Beer,Cervejaria Patanegra,PR
Scotch Ale or Wee Heavy,Ouro,La Birra Strong Scotch Ale,Cervejaria La Birra,SC
Scotch Ale or Wee Heavy,Prata,Lobos Confidencial,Cervejaria Lb,ES
Scotch Ale or Wee Heavy,Bronze,Scotch Ale,Salva Craft Beer,RS
Scottish-Style Export Ale,Ouro,La Birra Red Ale,Cervejaria La Birra,SC
Scottish-Style Export Ale,Prata,Zorro Patagónico,Cerveza Bordelago,
Scottish-Style Export Ale,Bronze,Divina Dois Amigos,Cervejaria Divina Beer,ES
Scottish-Style Heavy Ale,Ouro,La Birra Scottish Heavy,Cervejaria La Birra,SC
Scottish-Style Light Ale,Ouro,Chá Das 20H,Armada Cervejeira,SC
Scottish-Style Light Ale,Prata,Irish Red Ale,Água Do Monge,PR
Session Beer,Ouro,Moon Balance,Cervejaria Moondri,PR
Session Beer,Prata,Pé Vermeio,Cervejaria Seo Carneiro,SP
Session Beer,Bronze,Dna Beer Collab Divisa - Lagerteando Hop Lager,Cervejaria Dna Beer,RS
Session India Pale Ale,Ouro,Junior Session Ipa,Tropel,
Session India Pale Ale,Prata,Mistral,Dakza Brewing,MG
Session India Pale Ale,Bronze,Session,Cervejaria Sarau,SC
Smoke Beer,Ouro,Lassberg Smoke Beer,Lassberg,SC
Smoke Beer,Prata,Bierbaum Doppelbock Defumada,Bierbaum,SC
Smoke Beer,Bronze,Seis Maltes,Operária Cervejaria,PR
Smoke Porter,Ouro,Lassberg Smoke Porter,Lassberg,SC
Smoke Porter,Prata,Irmãos Rebouças,Cervejaria Três Morretes,ES
Smoke Porter,Bronze,Smoke Porter,Salva Craft Beer,RS
South German-Style Bernsteinfarbenes Weizen,Ouro,Amber Weiss,Opa Bier,SC
South German-Style Bernsteinfarbenes Weizen,Prata,Drama Elza,Stannis Cervejaria,SC
South German-Style Bernsteinfarbenes Weizen,Bronze,Frohenfeld Elch Weisse,Frohenfeld Craft Brewery,PR
South German-Style Dunkel Weizen,Ouro,Lassberg Dunkel Weizen,Lassberg,SC
South German-Style Dunkel Weizen,Prata,Dunkel Weizen,Opa Bier,SC
South German-Style Dunkel Weizen,Bronze,Dunkel Weizen,Salva Craft Beer,RS
South German-Style Hefeweizen,Ouro,Sif Weiss,Øl Beer,PR
South German-Style Hefeweizen,Prata,Mafiosa,Cervejaria Flagra,PR
South German-Style Hefeweizen,Bronze,Vemaguet- Fumaçê,Cervejaria Vemaguet 67,SP
South German-Style Kristal Weizen,Ouro,Kristal Weizen,Opa Bier,SC
South German-Style Kristal Weizen,Prata,Tendel Kristal Weiss,Cervejaria Tendel,SC
South German-Style Kristal Weizen,Bronze,Black Princess Doctor Weiss,Grupo Petrópolis,SP
South German-Style Weizenbock,Ouro,Lassberg Weizenbock,Lassberg,SC
South German-Style Weizenbock,Prata,Bierbaum Weizenbock,Bierbaum,SC
South German-Style Weizenbock,Bronze,Hunsruck Weizenbock,Cervejaria Hunsruck,RS
Special Bitter or Best Bitter,Ouro,Bebezinho,Salva Craft Beer,RS
Special Bitter or Best Bitter,Prata,Senhora Bitter,Matriarca Cervejaria,PR
Specialty Beer,Ouro,Ginger,Cervejaria Campos Do Jordao,SP
Specialty Beer,Prata,Alpendorf Imperial Gose Caramelo Salgado,Alpendorf Cervejaria,RJ
Specialty Beer,Bronze,5 Elementos Coffee & Pancake Brunch Stout,Cervejaria Turatti,CE
Specialty Honey Beer,Ouro,La Birra Belgian Honey Tripel,Cervejaria La Birra,SC
Specialty Honey Beer,Prata,Honey Beer - Wolfes Bier,Cervejaria Wolfes Bier,SP
Specialty Honey Beer,Bronze,Colorado Appia,Cervejaria Colorado,SP
Specialty Saison,Ouro,Saison Castanheira,Água Do Monge,PR
Specialty Saison,Prata,Giardino,Cervejaria Três Santas,ES
Specialty Saison,Bronze,Tempo De Mar,Cervejaria Três Santas,ES
Strong Ale,Ouro,Para Abrir Quando Chegarmos Em Trappist-1,Cervejaria Três Santas,ES
Strong Ale,Prata,Fuerte Frida,Stannis Cervejaria,SC
Strong Ale,Bronze,(048) Imperial Stout,Cervejaria 048,SC
Swedish-Style Gotlandsdricke,Ouro,Young Greta,Stannis Cervejaria,SC
Swedish-Style Gotlandsdricke,Prata,Ragnarok,Cervejaria Karsten,SC
Sweet Stout or Cream Stout,Ouro,Imperial Stout,Bikihr,
Sweet Stout or Cream Stout,Prata,Old London,Kiezen Ruw,
Sweet Stout or Cream Stout,Bronze,Stout Frade Negro,Cervejaria Karsten,SC
Traditional Belgian-Style Gueuze,Ouro,Denker Ana Bierhaus - Gueuze,Cervejaria Denker,RJ
Traditional Belgian-Style Gueuze,Prata,Ying-Young,Stannis Cervejaria,SC
Traditional Belgian-Style Gueuze,Bronze,Lobos Gueuze,Cervejaria Lb,ES
Traditional German-Style Bock,Ouro,Latitude 20 Bock,Latitude 20 Empreendimentos,MG
Traditional German-Style Bock,Prata,Vemaguet 67 - Reboque,Cervejaria Vemaguet 67,SP
Traditional German-Style Bock,Bronze,Pomerânia Braunbier,Cervejaria Pomerânia,SC
European Origin Lager Styles,Ouro,Aura Lager,Cervejaria Bohemia,RJ
European Origin Lager Styles,Prata,Jaras Lager,Stannis Cervejaria,SC
European Origin Lager Styles,Bronze,Cânion Espraiado,Natural Beer,SC
West Coast-Style India Pale Ale,Ouro,Westy,Tamango Brebajes,
West Coast-Style India Pale Ale,Prata,West Coast Ipa,Cervejaria Unika,SC
West Coast-Style India Pale Ale,Bronze,West Coast Ipa,Hop Capital Beer,DF
Wild Beer,Ouro,Lobos Trippel Wild,Cervejaria Lb,ES
Wild Beer,Prata,Belgian Golden Strong Ale,Naipe Brew,MG
Wild Beer,Bronze,Wild Specialty Beer,Dust Cervejaria,SC
Wood-and Barrel-Aged Beer,Ouro,Audrey Doll,Stannis Cervejaria,SC
Wood-and Barrel-Aged Beer,Prata,Cherokee - Barley Wine,Cervejaria Cherokee,SC
Wood-and Barrel-Aged Beer,Bronze,Porter On The Wood,Cerejaria Faroeste Beer,SC
Wood-and Barrel-Aged Sour Beer,Ouro,Space Nebula,Stannis Cervejaria,SC
Wood-and Barrel-Aged Sour Beer,Prata,Saison Chardonnay,Água Do Monge,PR
Wood-and Barrel-Aged Sour Beer,Bronze,Mardy Grass 2 Barricas,Eh Brewing Co,PR
